last_name, first_name,year,player_age,b_ab,b_total_pa,isolated_power,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,pull_percent,opposite_percent,
Crawford, Brandon,2018,31,531,594,.139,.122,87.3,11.1,3.6,33.1,75.7,29.8,88.4,33.1,31.6,
Cron, C.J.,2018,28,501,560,.240,.231,88.0,15.2,12.2,36.6,69.6,34.9,77.6,43.5,20.8,
Hicks, Aaron,2018,29,480,581,.219,.197,88.9,12.5,8.8,43.0,64.6,18.0,79.9,38.7,17.8,
Hosmer, Eric,2018,29,613,677,.145,.136,88.8,-1.2,6.4,38.2,70.6,29.2,84.2,28.8,31.4,
Kipnis, Jason,2018,31,530,601,.158,.154,86.1,17.0,6.6,31.3,61.0,25.6,69.4,36.7,25.1,
Rendon, Anthony,2018,28,529,597,.227,.238,90.6,17.7,10.3,44.6,69.4,23.8,79.6,36.7,27.3,
Semien, Marcus,2018,28,632,703,.133,.132,86.6,15.3,4.5,32.1,64.4,23.5,76.1,42.4,22.2,
Shaw, Travis,2018,28,498,587,.239,.214,88.4,16.6,10.3,38.0,66.5,25.0,79.2,45.1,20.9,
Springer, George,2018,29,544,620,.169,.200,88.6,9.5,8.9,37.2,67.0,21.7,88.8,33.9,24.2,
Gordon, Dee,2018,30,556,588,.081,.050,80.6,3.5,0.2,12.5,67.2,38.5,76.2,29.2,29.4,
Gregorius, Didi,2018,28,504,569,.226,.137,86.5,15.6,4.7,30.6,74.6,32.7,76.9,38.0,23.8,
Trout, Mike,2018,27,471,608,.316,.300,91.2,18.6,16.5,46.2,57.7,18.1,71.1,39.0,22.5,
Herrera, Odubel,2018,27,550,597,.165,.120,86.3,12.3,4.9,31.6,67.9,37.7,72.4,36.7,27.9,
Harper, Bryce,2018,26,550,695,.247,.248,90.6,13.9,11.5,45.1,74.2,24.9,85.5,40.3,27.2,
Abreu, Jose,2018,31,499,553,.208,.213,91.3,12.2,9.1,44.9,64.9,34.9,72.6,35.6,21.0,
Suarez, Eugenio,2018,27,527,606,.243,.236,91.2,14.7,9.7,45.6,68.3,21.7,81.6,39.4,22.0,
Polanco, Gregory,2018,27,461,535,.245,.197,88.6,19.9,9.4,37.8,69.7,24.4,78.0,42.7,19.9,
Sanchez, Yolmer,2018,26,600,662,.130,.104,85.6,8.5,3.0,27.8,64.1,31.1,72.6,33.8,26.3,
Arenado, Nolan,2018,27,590,673,.264,.204,89.7,15.3,7.4,40.3,72.5,30.2,80.5,35.6,23.4,
Barnhart, Tucker,2018,27,460,522,.124,.110,85.9,11.7,3.5,30.3,69.0,24.2,76.9,41.6,24.3,
Gennett, Scooter,2018,28,584,638,.180,.144,86.7,13.3,5.8,31.9,73.2,35.6,82.1,37.7,27.8,
Hamilton, Billy,2018,28,504,556,.091,.039,79.3,14.3,0.5,8.5,67.0,26.3,82.4,33.7,32.4,
Haniger, Mitch,2018,28,596,683,.208,.218,90.2,12.7,10.3,43.0,61.2,22.4,67.7,41.3,19.8,
Piscotty, Stephen,2018,27,546,605,.223,.219,88.5,13.1,9.6,38.7,72.4,34.2,79.9,35.7,25.4,
Seager, Kyle,2018,31,583,630,.178,.167,89.7,18.4,5.6,39.6,67.9,27.3,82.7,41.9,19.8,
Carpenter, Matt,2018,33,564,677,.266,.273,89.6,20.4,13.7,44.7,57.3,18.4,72.9,47.6,21.2,
Dickerson, Corey,2018,29,504,533,.175,.164,87.8,14.8,6.1,31.7,79.1,41.5,83.2,31.3,32.9,
Dozier, Brian,2018,31,553,632,.175,.140,86.7,17.8,6.3,29.0,57.2,23.2,59.9,45.5,16.6,
Contreras, Willson,2018,26,474,544,.141,.133,87.0,6.8,7.3,33.3,68.7,31.2,82.0,37.3,26.9,
Castellanos, Nicholas,2018,26,620,678,.202,.228,89.6,15.2,11.2,40.5,77.0,35.5,89.7,41.7,24.4,
Healy, Ryon,2018,26,493,524,.176,.178,89.4,12.1,7.1,41.6,62.8,33.7,60.0,37.7,20.9,
Machado, Manny,2018,26,632,709,.241,.225,91.6,14.4,11.3,48.0,72.4,28.5,85.8,34.7,25.3,
Realmuto, J.T.,2018,27,477,531,.208,.198,88.9,14.4,9.0,41.0,66.8,26.0,75.0,42.4,21.2,
Rosario, Eddie,2018,27,559,592,.191,.178,87.3,17.4,8.3,33.9,77.3,41.6,79.7,40.6,22.5,
Simmons, Andrelton,2018,29,554,600,.125,.112,87.8,7.7,4.1,36.3,66.5,23.5,78.2,45.0,16.1,
Yelich, Christian,2018,27,574,651,.272,.241,92.3,4.7,12.9,50.8,64.6,24.9,81.3,31.3,24.5,
Merrifield, Whit,2018,29,632,707,.134,.144,86.5,16.6,4.6,31.2,67.5,28.6,75.4,32.1,31.4,
Bogaerts, Xander,2018,26,513,580,.234,.212,90.5,12.7,9.8,41.6,60.6,26.7,71.2,38.4,20.9,
Calhoun, Kole,2018,31,491,552,.161,.198,90.4,12.0,9.3,42.9,73.3,27.0,84.9,41.2,23.4,
Profar, Jurickson,2018,25,524,594,.204,.137,87.3,12.3,5.0,31.8,67.9,30.2,77.0,38.0,27.0,
Baez, Javier,2018,26,606,645,.264,.227,89.6,9.2,12.6,43.1,77.3,43.1,85.1,37.8,26.6,
Lindor, Francisco,2018,25,661,745,.242,.221,90.2,14.5,9.5,41.0,67.4,29.7,68.3,36.8,27.5,
Odor, Rougned,2018,24,474,535,.171,.160,87.8,11.7,7.1,38.1,64.4,32.3,68.3,42.1,18.4,
Story, Trevor,2018,26,598,656,.276,.242,90.8,15.7,12.7,46.0,73.0,28.4,81.2,40.3,23.0,
Kepler, Max,2018,25,532,611,.184,.168,89.5,16.2,6.6,38.0,64.8,20.9,68.9,41.9,23.9,
Bradley Jr., Jackie,2018,28,474,535,.169,.197,91.9,12.0,10.3,50.1,69.5,23.2,79.1,39.0,19.9,
Candelario, Jeimer,2018,25,539,619,.169,.139,87.1,15.3,6.0,33.3,61.3,25.6,66.7,43.2,22.7,
Ahmed, Nick,2018,28,516,564,.176,.128,86.5,11.3,5.1,30.0,71.2,29.7,81.5,35.1,25.7,
Anderson, Brian,2018,25,590,670,.127,.145,90.2,8.7,5.8,42.4,68.1,23.3,75.5,35.0,25.5,
Bell, Josh,2018,26,501,583,.150,.156,90.0,9.2,7.0,39.0,68.4,23.0,78.0,32.6,28.1,
Betts, Mookie,2018,26,520,614,.294,.295,92.2,18.3,14.1,50.2,56.5,16.2,61.0,43.3,16.8,
Smith, Mallex,2018,25,480,544,.110,.077,84.0,2.6,1.5,23.0,71.9,25.5,77.6,24.0,30.7,
Hernandez, Teoscar,2018,26,476,523,.229,.260,91.8,17.0,15.5,45.9,72.1,28.2,77.7,36.4,24.7,
Peraza, Jose,2018,24,632,683,.128,.099,83.9,13.4,2.5,23.6,66.1,32.6,66.0,32.5,28.8,
Marte, Ketel,2018,25,520,580,.177,.132,88.5,5.7,5.0,36.7,68.5,23.6,76.2,36.3,23.9,
Nimmo, Brandon,2018,25,433,535,.219,.152,89.5,10.5,6.5,42.1,62.2,15.9,80.2,42.7,22.2,
Turner, Trea,2018,25,664,740,.145,.135,87.8,8.3,5.8,38.4,64.1,22.9,72.9,37.8,22.3,
Pillar, Kevin,2018,29,512,542,.174,.150,87.1,16.5,5.7,36.4,66.8,41.7,76.7,38.8,25.7,
Ramirez, Jose,2018,26,578,698,.282,.206,88.9,18.8,8.5,35.1,60.7,19.7,73.7,47.8,18.1,
Bregman, Alex,2018,24,594,705,.246,.195,89.2,16.9,7.6,39.9,57.7,18.2,67.6,46.7,19.1,
Gallo, Joey,2018,25,500,577,.292,.306,93.9,21.6,22.5,49.1,72.4,29.2,87.7,43.7,22.2,
Mazara, Nomar,2018,23,489,536,.178,.180,90.5,5.3,8.5,43.1,62.8,32.2,72.1,33.2,25.3,
Andujar, Miguel,2018,23,573,606,.230,.161,89.2,12.3,6.3,36.5,72.1,36.0,73.9,42.7,22.7,
Swanson, Dansby,2018,24,478,533,.157,.127,86.8,12.9,4.1,34.0,69.6,30.7,78.7,38.9,25.5,
Taylor, Chris,2018,28,536,604,.190,.168,88.6,16.4,8.6,38.5,69.6,23.4,81.3,36.7,28.5,
Wendle, Joey,2018,28,487,545,.136,.107,88.4,10.3,2.7,35.2,61.0,33.9,62.5,32.0,28.5,
Olson, Matt,2018,24,580,660,.207,.240,93.1,17.8,12.2,52.2,68.7,20.9,80.1,42.7,23.2,
Duffy, Matt,2018,27,503,560,.072,.077,86.6,4.6,1.2,27.8,67.4,25.0,74.2,24.7,32.9,
Margot, Manuel,2018,24,477,519,.138,.113,88.7,11.4,3.3,36.7,64.9,24.3,77.7,34.0,23.2,
Camargo, Johan,2018,25,464,524,.185,.136,88.0,12.5,5.0,33.7,70.0,32.2,76.0,37.0,25.6,
Conforto, Michael,2018,25,543,638,.204,.183,87.9,11.9,9.5,36.8,64.5,24.2,74.6,40.2,26.3,
Anderson, Tim,2018,25,567,606,.166,.131,85.6,10.5,4.7,27.9,72.9,36.0,70.6,38.8,26.0,
Bellinger, Cody,2018,23,557,632,.210,.189,89.7,16.1,8.6,38.6,65.9,24.4,81.6,43.3,23.5,
Mancini, Trey,2018,26,582,636,.174,.182,89.9,5.4,11.8,42.2,68.0,31.5,83.5,31.8,26.5,
Rosario, Amed,2018,23,554,592,.125,.106,87.3,7.2,3.9,32.1,69.5,37.4,68.8,29.7,25.4,
Benintendi, Andrew,2018,24,579,661,.174,.168,88.4,12.6,6.4,33.1,69.9,24.0,85.2,35.5,28.0,
Albies, Ozzie,2018,21,639,684,.191,.149,86.3,15.5,4.7,29.4,81.6,32.4,88.3,38.9,24.1,
Chapman, Matt,2018,25,547,616,.230,.171,93.0,14.7,8.9,47.8,61.8,21.2,74.3,38.5,24.6,
Hoskins, Rhys,2018,25,558,660,.251,.225,88.9,22.4,11.4,39.2,59.9,19.5,66.5,47.0,19.1,
Schwarber, Kyle,2018,25,428,510,.229,.224,90.0,11.5,12.7,45.0,64.4,21.7,76.5,41.6,22.3,
Moncada, Yoan,2018,23,578,650,.164,.168,90.6,15.1,9.6,44.2,62.3,20.3,82.2,39.5,25.5,
Beltran, Carlos,2017,40,467,509,.152,.138,87.3,13.3,4.6,30.7,66.4,32.4,74.8,42.3,20.8,
Pujols, Albert,2017,37,593,636,.145,.182,88.7,13.4,5.4,38.6,64.2,32.0,72.5,37.9,18.8,
Mauer, Joe,2017,34,525,597,.112,.162,90.2,5.6,4.5,45.8,53.3,19.2,57.0,20.7,38.4,
Cabrera, Miguel,2017,34,469,529,.149,.242,91.3,12.2,10.5,47.9,73.0,30.3,77.5,27.6,32.9,
Phillips, Brandon,2017,36,572,604,.131,.109,84.5,8.0,2.4,25.2,75.4,39.3,74.5,28.3,33.9,
Reyes, Jose,2017,34,501,561,.168,.108,83.5,14.6,2.6,24.2,62.3,29.6,69.3,38.6,22.3,
Choo, Shin-Soo,2017,35,544,636,.162,.204,88.0,7.2,8.6,37.6,63.1,20.3,70.6,39.7,23.0,
Molina, Yadier,2017,35,501,543,.166,.191,87.8,14.5,5.9,34.3,70.6,33.1,70.4,38.0,23.8,
Cano, Robinson,2017,35,592,648,.172,.193,90.3,7.4,6.3,43.6,74.2,30.7,85.8,32.9,23.3,
Encarnacion, Edwin,2017,34,554,669,.245,.264,89.2,16.7,10.6,42.0,67.8,20.8,74.2,44.1,20.0,
Bautista, Jose,2017,37,587,686,.164,.169,88.3,16.9,6.6,35.6,62.8,22.7,68.5,35.1,22.2,
Jones, Adam,2017,32,597,635,.181,.172,86.5,11.6,6.4,30.2,79.4,41.4,84.4,35.0,29.1,
Granderson, Curtis,2017,36,449,527,.241,.227,87.5,20.2,10.9,34.6,58.1,19.7,65.3,44.4,18.2,
Ramirez, Hanley,2017,34,496,553,.188,.217,88.4,12.5,9.5,37.9,71.4,28.0,83.2,35.8,21.6,
Morales, Kendrys,2017,34,557,608,.196,.238,91.1,9.5,10.0,45.4,71.3,32.3,70.5,33.9,26.6,
Kinsler, Ian,2017,35,551,613,.176,.176,86.2,19.3,4.9,30.1,63.8,24.8,74.7,36.6,27.3,
Cruz, Nelson,2017,37,556,645,.261,.301,93.2,12.4,14.2,48.3,70.2,27.8,81.0,34.5,22.7,
Trumbo, Mark,2017,31,559,603,.163,.159,89.6,12.6,7.1,37.5,71.4,31.4,75.7,32.1,23.4,
Peralta, David,2017,30,525,577,.150,.131,88.0,4.2,4.1,35.0,70.5,28.6,83.2,24.2,29.0,
Escobar, Alcides,2017,31,599,629,.107,.099,83.1,12.7,2.2,20.8,72.2,34.8,78.7,33.7,27.4,
Longoria, Evan,2017,32,613,677,.163,.162,86.7,12.7,5.2,32.2,68.7,32.1,75.0,36.0,26.2,
Cozart, Zack,2017,32,438,507,.251,.145,85.8,14.7,4.4,28.9,61.0,21.5,66.9,45.6,16.8,
Reynolds, Mark,2017,34,520,593,.219,.195,87.1,11.9,8.3,35.9,67.1,22.7,78.7,38.2,22.4,
Davis, Chris,2017,31,456,524,.208,.226,89.9,14.8,12.8,45.1,58.9,27.3,67.1,40.0,23.4,
Headley, Chase,2017,33,512,586,.133,.139,86.7,11.3,4.6,33.2,66.1,24.0,76.9,32.7,28.6,
Pence, Hunter,2017,34,493,539,.126,.163,89.0,4.4,5.8,37.6,65.0,28.2,77.6,22.0,29.4,
Span, Denard,2017,33,497,542,.155,.123,84.6,10.3,3.3,25.1,63.8,23.2,70.2,40.2,24.0,
Cabrera, Asdrubal,2017,32,479,540,.154,.167,86.7,11.3,4.7,32.5,70.0,25.2,84.1,41.3,21.6,
Blackmon, Charlie,2017,31,644,725,.270,.228,86.9,12.8,8.7,35.8,63.9,27.2,76.9,39.8,24.7,
Frazier, Todd,2017,31,474,576,.215,.221,87.5,20.3,9.6,30.3,59.8,22.3,71.5,44.4,20.6,
Markakis, Nick,2017,34,593,670,.110,.114,88.3,8.6,3.3,34.4,59.1,23.2,73.9,26.7,30.9,
Cain, Lorenzo,2017,31,584,645,.140,.126,89.1,10.1,3.5,35.1,71.8,26.3,80.3,27.8,27.2,
McCutchen, Andrew,2017,31,570,650,.207,.198,88.4,14.2,7.7,38.7,68.3,20.6,81.4,38.9,20.4,
Upton, Justin,2017,30,557,635,.268,.250,88.7,15.7,13.2,40.7,64.8,24.1,79.0,36.5,25.7,
Turner, Justin,2017,33,457,543,.208,.248,89.3,18.3,8.6,38.3,67.6,21.5,76.7,34.2,26.2,
Posey, Buster,2017,30,494,568,.142,.164,88.7,11.6,3.5,34.5,66.2,23.3,80.1,34.4,24.0,
Bruce, Jay,2017,30,555,617,.254,.246,88.4,18.2,10.7,38.5,72.8,29.5,84.3,43.4,20.3,
Votto, Joey,2017,34,559,707,.258,.259,87.6,14.0,9.1,32.8,70.3,13.3,86.2,33.6,30.3,
Gardner, Brett,2017,34,594,682,.163,.132,85.4,9.2,3.8,30.8,52.0,21.4,57.3,30.8,27.1,
Joyce, Matt,2017,33,469,544,.230,.224,88.1,15.2,8.8,34.4,66.6,18.9,83.3,39.1,24.0,
Gordon, Alex,2017,33,476,541,.107,.136,85.8,13.2,4.5,31.2,69.6,25.2,76.8,40.2,22.2,
Andrus, Elvis,2017,29,643,689,.174,.139,86.4,7.5,4.2,31.1,62.9,31.6,69.9,37.1,19.2,
Cabrera, Melky,2017,33,620,666,.137,.130,88.2,8.7,3.8,35.0,63.3,30.8,63.8,35.0,25.1,
Santana, Carlos,2017,31,571,667,.196,.201,88.4,12.7,7.5,38.6,61.0,19.7,76.6,43.8,17.3,
Gonzalez, Carlos,2017,32,470,534,.162,.130,87.4,6.1,5.9,36.7,71.3,31.7,76.2,33.6,19.0,
Mercer, Jordy,2017,31,502,558,.151,.119,85.7,9.2,3.1,32.2,61.1,23.7,71.8,36.8,21.6,
Alonso, Yonder,2017,30,451,521,.235,.238,89.2,19.4,9.9,40.8,72.3,25.8,83.2,38.1,25.2,
Smoak, Justin,2017,31,560,637,.259,.292,89.7,17.0,13.6,42.7,65.7,24.0,73.3,35.5,24.0,
Zimmerman, Ryan,2017,33,524,576,.269,.271,91.4,8.5,12.7,48.7,61.7,29.3,68.2,30.0,28.8,
Lowrie, Jed,2017,33,567,645,.171,.193,88.8,18.6,6.0,37.1,74.4,22.0,89.4,36.2,28.1,
Morrison, Logan,2017,30,512,601,.270,.256,88.6,17.6,12.8,42.5,69.5,25.0,81.4,42.6,18.0,
Gurriel, Yuli,2017,33,529,564,.187,.150,89.8,10.3,3.4,43.1,69.0,30.3,72.6,35.1,21.8,
Solarte, Yangervis,2017,30,466,512,.161,.135,85.5,14.5,3.9,27.5,71.8,33.6,81.6,36.9,22.5,
Freese, David,2017,34,426,503,.108,.137,89.0,3.0,6.4,42.9,61.7,24.1,73.0,19.4,32.5,
Davis, Khris,2017,30,566,652,.281,.316,92.2,14.2,17.7,51.9,75.0,21.7,89.7,30.4,26.5,
Pham, Tommy,2017,29,444,530,.214,.198,89.2,6.5,9.3,43.1,59.5,16.1,70.6,26.8,26.5,
Reddick, Josh,2017,30,477,540,.170,.149,87.2,17.5,3.8,31.3,64.2,27.6,74.5,34.2,29.9,
Murphy, Daniel,2017,32,534,593,.221,.192,89.6,17.3,4.8,41.6,66.6,30.5,75.4,37.6,25.0,
Goldschmidt, Paul,2017,30,558,665,.265,.273,91.4,11.6,13.3,47.3,62.1,22.9,73.8,35.4,23.4,
Gonzalez, Marwin,2017,28,455,515,.226,.160,87.5,10.9,6.6,36.3,61.2,26.5,65.4,35.5,25.2,
Altuve, Jose,2017,27,590,662,.202,.185,85.5,9.1,6.7,27.6,67.5,31.7,71.5,36.2,25.6,
Hernandez, Cesar,2017,27,511,577,.127,.118,84.3,3.3,2.9,29.7,60.3,20.1,70.3,30.9,26.2,
Segura, Jean,2017,27,524,566,.128,.127,87.4,6.6,3.2,34.2,66.4,31.7,80.0,26.0,28.3,
Freeman, Freddie,2017,28,440,514,.280,.299,89.6,15.8,13.3,42.1,82.1,29.0,88.6,34.0,28.8,
LeMahieu, DJ,2017,29,609,682,.099,.096,88.8,2.8,1.9,41.2,58.4,22.1,70.1,18.2,39.1,
Moreland, Mitch,2017,32,508,576,.197,.257,89.1,11.5,12.0,36.3,69.2,27.3,81.3,32.6,25.2,
Moustakas, Mike,2017,29,555,598,.249,.221,87.3,18.3,8.6,33.5,75.6,39.0,85.8,41.8,21.8,
Rizzo, Anthony,2017,28,572,691,.234,.233,88.1,15.3,9.3,38.7,66.7,27.8,72.4,42.0,20.8,
Souza Jr., Steven,2017,28,523,617,.220,.208,88.0,10.9,11.5,37.9,69.1,21.3,85.5,43.8,20.2,
Stanton, Giancarlo,2017,28,597,692,.350,.306,91.9,11.1,17.4,45.4,66.4,24.4,75.1,38.7,20.1,
Thames, Eric,2017,31,469,551,.271,.225,88.1,12.7,11.1,38.9,66.7,23.9,79.9,37.3,26.8,
Galvis, Freddy,2017,28,608,663,.127,.120,85.1,14.0,2.4,23.3,66.7,31.6,75.1,33.8,31.6,
Garcia, Avisail,2017,26,518,561,.176,.211,90.3,7.5,8.8,40.8,83.4,37.7,91.0,34.8,21.8,
Inciarte, Ender,2017,27,662,718,.106,.080,81.2,8.6,0.5,12.9,70.0,35.0,78.8,26.3,31.1,
Ozuna, Marcell,2017,27,613,679,.237,.228,90.7,10.1,9.3,45.2,72.7,30.0,76.9,33.1,23.4,
Beckham, Tim,2017,27,533,575,.176,.186,87.8,8.4,9.5,39.8,70.9,30.3,80.7,39.4,22.0,
Crawford, Brandon,2017,30,518,570,.151,.160,87.4,11.4,6.0,33.5,76.0,28.5,84.9,34.1,28.0,
Harrison, Josh,2017,30,486,542,.160,.140,84.1,15.7,2.7,23.9,72.6,32.6,82.4,40.9,23.7,
Hosmer, Eric,2017,28,603,671,.179,.164,89.7,3.8,7.0,39.0,69.6,26.9,82.1,26.5,33.5,
Rendon, Anthony,2017,27,508,605,.232,.205,89.8,18.0,6.5,37.9,61.7,18.7,72.0,37.7,28.9,
Shaw, Travis,2017,27,538,606,.240,.186,88.3,14.6,7.2,38.9,66.5,27.4,73.7,37.1,25.7,
Springer, George,2017,28,548,629,.239,.235,89.3,9.4,9.3,42.6,68.0,22.1,86.8,34.0,26.5,
Gordon, Dee,2017,29,653,695,.067,.048,79.3,0.2,0.2,11.0,67.4,34.8,73.8,21.7,31.8,
Gregorius, Didi,2017,27,534,570,.191,.123,84.4,17.4,3.6,20.8,81.4,37.8,82.7,36.1,22.1,
Trout, Mike,2017,26,402,507,.323,.294,88.8,18.0,13.3,39.2,58.9,18.8,75.5,37.0,23.7,
Herrera, Odubel,2017,26,526,563,.171,.145,86.5,8.9,6.2,32.1,70.7,38.0,74.1,29.1,31.8,
Abreu, Jose,2017,30,621,675,.248,.230,90.5,11.3,9.5,45.0,67.4,30.4,67.0,35.0,27.1,
Suarez, Eugenio,2017,26,534,632,.200,.180,86.2,14.7,6.9,32.0,64.3,21.6,72.4,39.5,26.3,
Santana, Domingo,2017,25,525,607,.227,.198,89.3,10.5,9.7,40.0,70.4,24.2,83.4,33.4,28.0,
Sanchez, Yolmer,2017,25,484,534,.147,.112,83.8,9.3,3.4,24.5,67.1,32.7,70.7,29.4,29.4,
Schoop, Jonathan,2017,26,622,675,.211,.167,87.7,12.9,6.8,36.1,75.2,32.9,85.6,39.6,20.1,
Arenado, Nolan,2017,26,606,680,.277,.243,88.8,17.3,8.5,37.5,71.1,28.0,75.6,33.1,27.6,
Hamilton, Billy,2017,27,582,633,.088,.044,78.6,8.3,0.4,11.2,63.3,26.3,70.9,34.2,25.2,
Joseph, Tommy,2017,26,495,533,.192,.164,89.1,14.0,7.3,40.3,67.6,34.4,72.8,39.3,22.0,
Lamb, Jake,2017,27,536,635,.239,.209,88.3,12.2,9.3,36.3,60.4,20.4,69.1,39.1,24.4,
Myers, Wil,2017,27,567,649,.220,.200,89.1,15.3,9.1,44.6,64.8,25.1,73.9,38.6,20.3,
Seager, Kyle,2017,30,578,650,.201,.221,87.8,20.2,8.6,33.7,62.2,23.4,69.8,37.6,23.8,
Carpenter, Matt,2017,32,497,622,.209,.229,88.9,21.4,8.2,37.0,55.0,14.0,70.8,45.9,22.7,
Dickerson, Corey,2017,28,588,629,.207,.184,87.2,13.8,7.5,31.2,78.6,42.7,88.6,30.4,28.8,
Dozier, Brian,2017,30,617,705,.227,.227,87.5,16.5,8.4,34.4,59.2,25.6,71.6,44.6,16.5,
Bryant, Kris,2017,25,549,665,.242,.234,87.1,16.9,9.6,36.4,71.0,24.3,85.2,36.1,22.2,
Castellanos, Nicholas,2017,25,614,665,.218,.252,89.1,14.1,10.7,41.8,73.1,31.8,77.6,34.8,25.6,
